date,rmse,mae,bias
2012-10-13,1.758564,1.2359384,0.1527645
2012-10-14,1.7032521,1.2105764,-0.032672092
2012-10-15,1.708565,1.2277381,0.15204558
2012-10-16,1.7556692,1.3082458,0.12348935
2012-10-17,1.767903,1.3309549,-0.37714666
2012-10-18,1.7841462,1.3345141,-0.054653794
2012-10-19,1.8071089,1.3240721,0.18406332
2012-10-20,1.9725502,1.5393648,0.3071736
2012-10-21,2.0639288,1.6031303,0.47936332
2012-10-22,2.039365,1.5903089,0.64888376
2012-10-23,1.9404916,1.465767,0.38247278
2012-10-24,2.013829,1.448667,0.62440354
2012-10-25,2.4059517,1.7417995,0.7502489
2012-10-26,1.7000108,1.3323764,-0.0750295
2012-10-27,1.6800716,1.3110561,-0.56707597
2012-10-28,1.6654088,1.2822593,-0.48428473
2012-10-29,1.7226189,1.2826267,-0.44548655
2012-10-30,1.7216979,1.2903792,-0.11186876
2012-10-31,1.6110286,1.191534,-0.199296
2012-11-01,1.8128663,1.2173938,0.08763467
2012-11-02,1.8505663,1.3230867,-0.24568255
2012-11-03,1.5535225,1.1428016,-0.5560427
2012-11-04,1.579634,1.1639574,-0.079748146
2012-11-05,1.8532386,1.4087585,-0.17343977
2012-11-06,2.002047,1.4230567,-0.68594486
2012-11-07,1.6826555,1.2635598,0.12687014
2012-11-08,1.8791022,1.4155201,0.2523235
2012-11-09,2.0006745,1.4159495,0.37345755
2012-11-10,2.209725,1.5538234,0.661769
2012-11-11,2.2095428,1.6350477,1.056209
2012-11-12,1.7456466,1.325712,0.0047169775
2012-11-13,1.5697193,1.1681939,0.17521076
2012-11-14,1.7152212,1.1819857,0.2430554
2012-11-15,2.0202527,1.4015282,0.47330227
2012-11-16,2.5549173,1.8457083,1.269399
2012-11-17,1.9032604,1.3792316,0.7346115
2012-11-18,1.596188,1.2084552,0.38208348
2012-11-19,1.4153866,1.0617437,-0.0013970286
2012-11-20,1.5090344,1.1371579,0.13781153
2012-11-21,1.8636484,1.4146107,0.7366692
2012-11-22,1.7977297,1.3364339,0.4755686
2012-11-23,1.5164691,1.1434587,-0.04913035
2012-11-24,1.7691945,1.3228791,0.08940259
2012-11-25,1.8894674,1.3619118,-0.004680358
2012-11-26,2.0253413,1.439832,-0.2957508
2012-11-27,2.257332,1.6371068,-0.44667763
2012-11-28,2.3345134,1.851829,1.2241435
2012-11-29,1.6747911,1.2375296,0.53547376
2012-11-30,1.7841086,1.2903934,0.78720665
2012-12-01,1.5455995,1.1458449,0.40271378
2012-12-02,1.5977577,1.174034,0.02042777
2012-12-03,1.501342,1.1305838,-0.08168472
2012-12-04,1.4651155,1.1111387,-0.11925454
2012-12-05,1.6360714,1.2131354,0.06598015
2012-12-06,1.5491917,1.1565529,-0.16234869
2012-12-07,1.5848674,1.188805,-0.22312306
2012-12-08,1.9329991,1.432389,-0.40229544
2012-12-09,1.9938836,1.4946902,0.293737
2012-12-10,2.0984585,1.5382763,0.3682611
2012-12-11,1.6307869,1.2186697,0.15605855
2012-12-12,1.8015976,1.2577059,0.39225587
2012-12-13,1.9758444,1.3957715,0.42959374
2012-12-14,1.5205641,1.0913728,-0.20829463
2012-12-15,1.7617676,1.2598754,0.35768512
2012-12-16,1.7484173,1.3391013,0.62921584
2012-12-17,1.6821989,1.2974321,0.1032028
2012-12-18,1.8917981,1.5031459,0.49088246
2012-12-19,1.7902578,1.3921229,-0.0056161303
2012-12-20,1.7305148,1.3577647,0.73485756
2012-12-21,1.9912517,1.5185844,0.25212553
2012-12-22,2.282257,1.6607647,0.7962957
2012-12-23,1.8767197,1.4422002,0.30439267
2012-12-24,2.162654,1.5478578,0.25190204
2012-12-25,2.0002632,1.4376216,-0.1402347
2012-12-26,1.8288482,1.3786852,-0.60245204
2012-12-27,2.0890398,1.498749,-0.7191844
2012-12-28,1.7466872,1.248513,-0.3562532
2012-12-29,1.6343553,1.1978726,-0.1882559
2012-12-30,2.053926,1.5015018,0.1449226
2012-12-31,1.8965117,1.3561864,0.66842794
