time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-08-08 18:00:00,291.77457,284.86295,292.25595,285.36166,292.19864,283.34158
2012-08-08 21:00:00,292.2827,284.95996,292.6305,285.49997,292.64304,283.62485
2012-08-09 00:00:00,292.95102,285.01382,293.05405,285.4906,292.80612,283.0398
2012-08-09 03:00:00,293.40775,285.7116,293.46365,284.87433,292.38422,282.85092
2012-08-09 06:00:00,293.12692,285.9838,293.22906,285.67538,291.91104,282.6579
2012-08-09 09:00:00,291.34323,286.58163,292.09912,285.85583,290.61743,282.55325
2012-08-09 12:00:00,289.69852,286.70663,291.54053,285.8081,290.36588,282.47748
2012-08-09 15:00:00,289.58606,285.41867,291.36594,285.35028,290.65015,282.72733
2012-08-09 18:00:00,291.86612,285.15262,291.8942,285.19034,291.56238,283.26385
2012-08-09 21:00:00,292.91577,285.3841,293.14087,285.1514,292.8059,284.26498
2012-08-10 00:00:00,293.6826,285.9559,293.97327,285.38483,292.91837,283.8183
2012-08-10 03:00:00,293.87454,286.50223,294.0403,285.68594,291.92343,282.8527
2012-08-10 06:00:00,292.8259,286.65732,292.5913,285.61053,290.82138,282.54474
2012-08-10 09:00:00,291.92215,286.96692,291.43774,285.71616,290.05142,282.5865
2012-08-10 12:00:00,290.87534,286.7657,290.28348,286.04526,289.00784,282.61716
2012-08-10 15:00:00,290.40036,285.35587,289.95023,285.34036,289.15134,282.64334
2012-08-10 18:00:00,290.78696,285.19614,290.8115,284.93616,291.23013,284.0423
2012-08-10 21:00:00,292.07242,285.44003,292.0919,285.20056,292.87378,284.63196
2012-08-11 00:00:00,293.31177,286.09583,292.98358,285.44525,293.24545,284.55035
2012-08-11 03:00:00,293.75525,286.87042,293.37753,285.6343,292.23413,283.00787
2012-08-11 06:00:00,292.8035,287.01645,292.27267,285.7614,291.48227,282.81268
2012-08-11 09:00:00,291.93253,286.83304,291.4507,285.99808,291.089,282.5645
2012-08-11 12:00:00,290.51016,286.71234,290.2927,286.00043,290.0034,282.51508
2012-08-11 15:00:00,289.52182,285.36227,289.9122,285.36584,289.9047,283.11057
2012-08-11 18:00:00,290.79916,285.13223,290.79422,285.07712,291.2654,284.83392
2012-08-11 21:00:00,291.58212,285.3685,291.86108,285.3147,291.73987,285.07465
2012-08-12 00:00:00,292.41946,285.71582,292.74597,285.32074,293.73422,284.95163
2012-08-12 03:00:00,293.73978,286.7424,293.0066,285.42465,292.98117,284.37982
2012-08-12 06:00:00,292.85965,287.16302,292.78458,285.70035,291.77036,282.844
2012-08-12 09:00:00,292.2195,286.81094,291.4539,285.9187,291.03625,282.66763
2012-08-12 12:00:00,291.56665,286.52637,290.9015,285.88947,290.25632,282.5291
2012-08-12 15:00:00,291.34024,285.5583,290.89938,284.8713,290.4962,282.8979
2012-08-12 18:00:00,291.8661,285.3287,291.52148,285.0788,292.10056,284.69656
2012-08-12 21:00:00,292.69437,285.4151,292.8196,285.2312,293.79663,284.92383
2012-08-13 00:00:00,294.17413,285.64288,293.77136,285.30286,293.64893,284.726
2012-08-13 03:00:00,294.36172,286.69965,293.95486,285.6192,292.09137,283.0943
2012-08-13 06:00:00,293.09842,287.2626,292.38678,285.6755,290.9375,282.67072
